"RK","PLAYER NAME",TEAM,"POS","SOS SEASON","SOS PLAYOFFS","ECR VS. ADP"
"2","Josh Jacobs",LV,"RB2","1 out of 5 stars","1 out of 5 stars","+46"
"9","Saquon Barkley",NYG,"RB8","3 out of 5 stars","2 out of 5 stars","+8"
"10","Tyreek Hill",MIA,"WR2","3 out of 5 stars","3 out of 5 stars","+13"
"11","Ja'Marr Chase",CIN,"WR3","3 out of 5 stars","3 out of 5 stars","-1"
"15","Travis Kelce",KC,"TE1","3 out of 5 stars","3 out of 5 stars","+1"
"35","T.J. Hockenson",MIN,"TE2","5 out of 5 stars","5 out of 5 stars","+39"
"36","Josh Allen",BUF,"QB1","4 out of 5 stars","4 out of 5 stars","-15"
"68","Justin Fields",CHI,"QB4","4 out of 5 stars","2 out of 5 stars","+74"
"87","Tua Tagovailoa",MIA,"QB7","3 out of 5 stars","3 out of 5 stars","+40"
"20","Kenneth Walker III",SEA,"RB12","2 out of 5 stars","1 out of 5 stars","+75"
"73","Joe Burrow",CIN,"QB5","2 out of 5 stars","3 out of 5 stars","-17"
